Client Name,Total Files,KB Status,KB UUID,KB Sources,Type: about,Type: blogs_resources,Type: brochures_newsletters,Type: capabilities_overview,Type: careers,Type: case_studies,Type: homepage,Type: industry_markets,Type: intake_form,Type: other,Type: pitch_decks,Type: pricing,Type: services_products,Type: testimonials,Type: unknown,Source: client_materials,Source: clients,Source: intake_form,Source: reports,Source: unknown,Source: website
_mintleads_kb_master,70,MISSING,,,,,,,,,,,,,,,,,70,,35,,34,1,
a-perfect-promotion,24,OK,4579e84e-e339-11f0-b074-4e013e2ddde4,mintleads-clients-kb/a-perfect-promotion/,1,8,,,1,1,2,,1,9,,,,,1,,,1,,1,22
abundantly,108,OK,60b6d348-e33a-11f0-b074-4e013e2ddde4,mintleads-clients-kb/abundantly/,5,49,1,1,1,4,,,1,31,,3,11,,1,7,,1,,1,99
american-ethanol,33,OK,7e6bcd49-e33a-11f0-b074-4e013e2ddde4,mintleads-clients-kb/american-ethanol/,1,4,1,,,,2,,1,8,,2,13,,1,1,,1,,1,30
archway-learning-solutions,52,OK,0c82bfaf-e33a-11f0-b074-4e013e2ddde4,mintleads-clients-kb/archway-learning-solutions/,1,37,4,2,,,1,,,6,,,,,1,7,,,,1,44
atrenet,18,OK,9abb788e-e33a-11f0-b074-4e013e2ddde4,mintleads-clients-kb/atrenet/,1,1,,1,,3,1,,1,7,1,,1,,1,6,,1,,1,10
beistle,167,OK,3e2b357a-e322-11f0-b074-4e013e2ddde4,mintleads-clients-kb/beistle/,,13,3,1,1,,1,1,,22,,,124,,1,6,,,,1,160
bucklandco,51,OK,ddd6c82a-e33a-11f0-b074-4e013e2ddde4,mintleads-clients-kb/bucklandco/,1,33,,,,3,2,,1,6,,,4,,1,,,1,,1,49
cas-severn,116,OK,108a996a-e33b-11f0-b074-4e013e2ddde4,mintleads-clients-kb/cas-severn/,3,65,2,2,,,1,9,2,18,1,,12,,1,7,,2,,1,106
clarke-consulting,11,OK,4cfdff79-e33b-11f0-b074-4e013e2ddde4,mintleads-clients-kb/clarke-consulting/,1,,,1,,3,1,,2,2,,,,,1,4,,2,,1,4
clearfield-group,37,OK,6f40d250-e33b-11f0-b074-4e013e2ddde4,mintleads-clients-kb/clearfield-group/,,1,,,,,2,,,33,,,,,1,28,,,,1,8
cogent-consulting,51,OK,870b6e31-e33b-11f0-b074-4e013e2ddde4,mintleads-clients-kb/cogent-consulting/,1,30,,5,,3,2,,1,4,,,3,1,1,7,,1,,1,42
conneqt,10,OK,380edf98-e33b-11f0-b074-4e013e2ddde4,mintleads-clients-kb/conneqt/,,,2,1,,,2,,,4,,,,,1,3,,,,1,6
d2-creative,103,OK,97d569cd-e33b-11f0-b074-4e013e2ddde4,mintleads-clients-kb/d2-creative/,2,30,,,1,39,1,,1,16,,,12,,1,,,1,,1,101
dodeka-digital,33,OK,b11c8f36-e33b-11f0-b074-4e013e2ddde4,mintleads-clients-kb/dodeka-digital/,1,5,,,,11,1,,1,6,,1,6,,1,1,,1,,1,30
evenbound,131,OK,fea0c23d-e33b-11f0-b074-4e013e2ddde4,mintleads-clients-kb/evenbound/,,55,,,1,9,1,,1,50,,,13,,1,,,1,,1,129
f1-cloud-solutions,61,OK,1f558351-e33c-11f0-b074-4e013e2ddde4,mintleads-clients-kb/f1-cloud-solutions/,1,17,,,1,6,1,3,1,18,,,12,,1,7,,1,,1,52
forge-apollo,160,OK,4bb5cb88-e33c-11f0-b074-4e013e2ddde4,mintleads-clients-kb/forge-apollo/,2,54,1,,1,39,1,2,1,24,4,,29,1,1,10,,1,,1,148
galactic-fed,152,OK,85e606ea-e33c-11f0-b074-4e013e2ddde4,mintleads-clients-kb/galactic-fed/,4,51,,,24,49,4,,1,9,,,9,,1,,,1,,1,150
iconic-supply-co.,25,MISSING,,,1,,,,,1,2,,1,7,,1,11,,1,,,1,,1,23
incyte-media,72,OK,c10bf3c1-e33c-11f0-b074-4e013e2ddde4,mintleads-clients-kb/incyte-media/,1,47,1,,,2,1,,1,11,,,7,,1,2,,1,,1,68
integrity-professionals,12,OK,d53783a4-e33c-11f0-b074-4e013e2ddde4,mintleads-clients-kb/integrity-professionals/,,5,,,,,1,,1,4,,,,,1,,,1,,1,10
kilter.la,92,MISSING,,,1,5,,,,70,1,4,1,8,,,1,,1,1,,1,,1,89
klickrr,18,OK,0061c1bf-e33d-11f0-b074-4e013e2ddde4,mintleads-clients-kb/klickrr/,1,6,,,,,1,,,9,,,,,1,4,,,,1,13
lib-consulting-group,15,OK,10ececb5-e33d-11f0-b074-4e013e2ddde4,mintleads-clients-kb/lib-consulting-group/,2,,,,,,2,,1,8,,,1,,1,3,,1,,1,10
lithyem,112,OK,2b5341cf-e33d-11f0-b074-4e013e2ddde4,mintleads-clients-kb/lithyem/,1,78,,,,9,1,,1,10,,,11,,1,,,1,,1,110
makers-garments,13,OK,d50fd26f-e33d-11f0-b074-4e013e2ddde4,mintleads-clients-kb/makers-garments/,1,,,,,,1,,,9,,,1,,1,5,,,,1,7
manufacturing-geeks,63,OK,fd0590cb-e33d-11f0-b074-4e013e2ddde4,mintleads-clients-kb/manufacturing-geeks/,1,12,,,,,1,,1,7,,2,38,,1,,,1,,1,61
mintleads,12,OK,2830e08b-e33e-11f0-b074-4e013e2ddde4,mintleads-clients-kb/mintleads/,1,6,,,,1,1,,,,2,,,,1,3,,,,1,8
nextlevel-thinking,40,OK,57259466-e33e-11f0-b074-4e013e2ddde4,mintleads-clients-kb/nextlevel-thinking/,1,2,,,,24,1,2,1,5,,,3,,1,1,,1,,1,37
nga-healthcare,64,OK,3a5e908d-e33e-11f0-b074-4e013e2ddde4,mintleads-clients-kb/nga-healthcare/,2,50,,,,,1,,1,5,,1,2,1,1,,,1,,1,62
nutramarketers,37,OK,6d522636-e33e-11f0-b074-4e013e2ddde4,mintleads-clients-kb/nutramarketers/,1,16,,,,5,1,1,1,8,,,3,,1,1,,1,,1,34
on-the-marc-media,14,OK,92f10193-e33e-11f0-b074-4e013e2ddde4,mintleads-clients-kb/on-the-marc-media/,,,1,,,8,,,2,1,1,,,,1,11,,2,,1,
peachtree-va,3,OK,a4b2a275-e33e-11f0-b074-4e013e2ddde4,mintleads-clients-kb/peachtree-va/,,,,,,,,,1,1,,,,,1,1,,1,,1,
